iteration,timestamp,kbSize,ruleSize,elapsedTimeInMillis,memoryUsedInKB
1,2026-04-27 18:00:32,500000,13,52995,1457617
2,2026-04-27 18:01:55,500000,13,52651,1216350
3,2026-04-27 18:03:20,500000,13,52707,1107794
4,2026-04-27 18:04:45,500000,13,53408,2461254
5,2026-04-27 18:06:11,500000,13,53206,1378807
6,2026-04-27 18:07:38,500000,13,53628,2525475
7,2026-04-27 18:09:04,500000,13,52654,3731244
8,2026-04-27 18:10:27,500000,13,52591,1455424
9,2026-04-27 18:11:48,500000,13,52113,1299947
10,2026-04-27 18:13:11,500000,13,52632,1752443
1,2026-04-27 18:15:41,909068,13,97134,4540158
2,2026-04-27 18:18:07,909068,13,97844,2599483
3,2026-04-27 18:20:36,909068,13,97877,3768919
4,2026-04-27 18:23:05,909068,13,97281,3736224
5,2026-04-27 18:25:34,909068,13,96436,4375789
6,2026-04-27 18:28:06,909068,13,99797,2043614
7,2026-04-27 18:30:32,909068,13,97791,3846247
8,2026-04-27 18:32:59,909068,13,97194,3648159
9,2026-04-27 18:35:28,909068,13,99415,4234575
10,2026-04-27 18:37:56,909068,13,97085,3985548
1,2026-04-27 18:41:41,1318136,13,155209,5473403
2,2026-04-27 18:45:26,1318136,13,153802,4310480
3,2026-04-27 18:49:10,1318136,13,154807,4636494
4,2026-04-27 18:52:59,1318136,13,156856,5595496
5,2026-04-27 18:56:48,1318136,13,157553,4589308
6,2026-04-27 19:00:31,1318136,13,154692,4129197
7,2026-04-27 19:04:16,1318136,13,156637,3709797
8,2026-04-27 19:07:58,1318136,13,155466,3866501
9,2026-04-27 19:11:44,1318136,13,157332,5597466
10,2026-04-27 19:15:28,1318136,13,155530,5077223
1,2026-04-27 19:20:29,1727204,13,210899,6073578
2,2026-04-27 19:30:19,1727204,13,210283,6620068
3,2026-04-27 19:40:07,1727204,13,211286,6198431
4,2026-04-27 19:49:52,1727204,13,207778,6455837
5,2026-04-27 19:59:36,1727204,13,207288,8129843
6,2026-04-27 20:09:24,1727204,13,209747,4073603
7,2026-04-27 20:19:12,1727204,13,210911,7321280
8,2026-04-27 20:28:58,1727204,13,209132,6634410
9,2026-04-27 20:38:45,1727204,13,210472,8686847
10,2026-04-27 20:48:31,1727204,13,209361,5776434
1,2026-04-27 20:59:55,2136272,13,282748,6586694
2,2026-04-27 21:11:15,2136272,13,280770,6427359
3,2026-04-27 21:22:34,2136272,13,281556,5967597
4,2026-04-27 21:33:55,2136272,13,281139,7114812
5,2026-04-27 21:45:18,2136272,13,284879,6490770
6,2026-04-27 21:56:39,2136272,13,281567,6621633
7,2026-04-27 22:08:00,2136272,13,282869,6503981
8,2026-04-27 22:19:22,2136272,13,283304,7163357
9,2026-04-27 22:30:46,2136272,13,285522,6162215
10,2026-04-27 22:42:06,2136272,13,280942,6088365
1,2026-04-27 22:54:56,2545342,13,345125,5561647
2,2026-04-27 23:07:46,2545342,13,346487,8930891
3,2026-04-27 23:20:36,2545342,13,344653,8717927
4,2026-04-27 23:33:22,2545342,13,342910,7639740
5,2026-04-27 23:46:11,2545342,13,346759,6621686
6,2026-04-27 23:58:57,2545342,13,342520,8301629
7,2026-04-28 00:11:47,2545342,13,347014,8531058
8,2026-04-28 00:24:34,2545342,13,343158,9468087
9,2026-04-28 00:37:23,2545342,13,346142,8016059
10,2026-04-28 00:50:09,2545342,13,343044,8268313
1,2026-04-28 00:56:16,500000,10,42302,573089
2,2026-04-28 01:02:20,500000,10,41625,989028
3,2026-04-28 01:08:25,500000,10,42038,750023
4,2026-04-28 01:14:30,500000,10,41882,893257
5,2026-04-28 01:20:35,500000,10,41895,1242919
6,2026-04-28 01:26:40,500000,10,41718,739777
7,2026-04-28 01:32:45,500000,10,42040,763048
8,2026-04-28 01:38:51,500000,10,43360,503257
9,2026-04-28 01:44:56,500000,10,41553,1342333
10,2026-04-28 01:51:01,500000,10,41813,1213246
1,2026-04-28 01:57:58,909068,10,76914,2649907
2,2026-04-28 02:04:55,909068,10,76119,2346717
3,2026-04-28 02:11:52,909068,10,77033,2098967
4,2026-04-28 02:18:47,909068,10,76180,2404480
5,2026-04-28 02:25:48,909068,10,76903,2508663
6,2026-04-28 02:32:42,909068,10,75056,2658448
7,2026-04-28 02:39:38,909068,10,76335,1982232
8,2026-04-28 02:46:33,909068,10,75863,2388154
9,2026-04-28 02:53:28,909068,10,76318,2525563
10,2026-04-28 03:00:24,909068,10,76663,2690728
1,2026-04-28 03:08:24,1318136,10,120664,1512248
2,2026-04-28 03:16:24,1318136,10,122623,2413720
3,2026-04-28 03:24:22,1318136,10,120170,1850902
