iteration,timestamp,kbSize,ruleSize,elapsedTimeInMillis,memoryUsedInKB
4,2026-04-28 03:32:21,1318136,10,121140,2602604
5,2026-04-28 03:40:19,1318136,10,120719,2063064
6,2026-04-28 03:48:16,1318136,10,119729,3905745
7,2026-04-28 03:56:15,1318136,10,121672,1888929
8,2026-04-28 04:04:12,1318136,10,118798,2159485
9,2026-04-28 04:12:09,1318136,10,120670,4053502
10,2026-04-28 04:20:07,1318136,10,120308,3437867
1,2026-04-28 04:29:11,1727204,10,165985,4880093
2,2026-04-28 04:38:11,1727204,10,164187,3644729
3,2026-04-28 04:47:12,1727204,10,162430,3070010
4,2026-04-28 04:56:10,1727204,10,161498,4882751
5,2026-04-28 05:05:10,1727204,10,162992,4718192
6,2026-04-28 05:14:10,1727204,10,163888,4993821
7,2026-04-28 05:23:12,1727204,10,163885,3092934
8,2026-04-28 05:32:10,1727204,10,162406,4001429
9,2026-04-28 05:41:13,1727204,10,166555,4490761
10,2026-04-28 05:50:12,1727204,10,161541,4494499
1,2026-04-28 06:00:33,2136272,10,222566,4456599
2,2026-04-28 06:10:52,2136272,10,221911,4305698
3,2026-04-28 06:21:12,2136272,10,222049,4860265
4,2026-04-28 06:31:31,2136272,10,220179,3772942
5,2026-04-28 06:41:51,2136272,10,221919,4204285
6,2026-04-28 06:52:11,2136272,10,221717,3563320
7,2026-04-28 07:02:31,2136272,10,222323,4416600
8,2026-04-28 07:12:54,2136272,10,224722,3140322
9,2026-04-28 07:23:16,2136272,10,223547,4424661
10,2026-04-28 07:33:36,2136272,10,221521,3830535
1,2026-04-28 07:45:12,2545342,10,272355,2704849
2,2026-04-28 07:56:47,2545342,10,272948,4737520
3,2026-04-28 08:08:24,2545342,10,274861,5375495
4,2026-04-28 08:19:58,2545342,10,271319,4806230
5,2026-04-28 08:31:35,2545342,10,273815,6925394
6,2026-04-28 08:43:08,2545342,10,270451,5505928
7,2026-04-28 08:54:44,2545342,10,272696,2168627
8,2026-04-28 09:06:27,2545342,10,280677,2112835
9,2026-04-28 09:18:07,2545342,10,276313,2426568
10,2026-04-28 09:29:41,2545342,10,271324,6188477
1,2026-04-28 09:35:54,500000,13,49811,683442
2,2026-04-28 09:42:07,500000,13,50087,1508893
3,2026-04-28 09:48:19,500000,13,48981,1491189
4,2026-04-28 09:54:32,500000,13,48943,681560
5,2026-04-28 10:00:46,500000,13,51308,1017453
6,2026-04-28 10:06:59,500000,13,49588,1430163
7,2026-04-28 10:13:12,500000,13,50533,883962
8,2026-04-28 10:19:25,500000,13,49975,1042043
9,2026-04-28 10:25:38,500000,13,49644,1045722
10,2026-04-28 10:31:54,500000,13,52787,2015221
1,2026-04-28 10:39:03,909068,13,90308,3192192
2,2026-04-28 10:46:12,909068,13,89709,3042603
3,2026-04-28 10:53:21,909068,13,89319,3264878
4,2026-04-28 11:00:30,909068,13,89280,3201617
5,2026-04-28 11:07:39,909068,13,90248,3235262
6,2026-04-28 11:14:47,909068,13,88471,2985612
7,2026-04-28 11:21:56,909068,13,90031,3058767
8,2026-04-28 11:29:05,909068,13,89639,3099982
9,2026-04-28 11:36:15,909068,13,89989,3001536
10,2026-04-28 11:43:24,909068,13,90136,3079440
1,2026-04-28 11:51:42,1318136,13,141322,3408889
2,2026-04-28 12:00:02,1318136,13,142237,2849956
3,2026-04-28 12:08:23,1318136,13,142822,4387089
4,2026-04-28 12:16:43,1318136,13,143167,3239261
5,2026-04-28 12:25:04,1318136,13,143527,4473293
6,2026-04-28 12:33:25,1318136,13,143625,2879908
7,2026-04-28 12:41:45,1318136,13,142840,2846772
8,2026-04-28 12:50:07,1318136,13,143822,4757339
9,2026-04-28 12:58:28,1318136,13,144153,3017153
10,2026-04-28 13:06:46,1318136,13,141113,5077041
1,2026-04-28 13:16:17,1727204,13,194148,5724101
2,2026-04-28 13:25:49,1727204,13,195182,6179233
3,2026-04-28 13:35:21,1727204,13,195865,1364448
4,2026-04-28 13:44:48,1727204,13,190281,5529327
5,2026-04-28 13:54:19,1727204,13,193984,4613046
6,2026-04-28 14:03:46,1727204,13,191075,4159383
7,2026-04-28 14:13:15,1727204,13,191148,5238823
8,2026-04-28 14:22:42,1727204,13,190600,4976542
9,2026-04-28 14:32:10,1727204,13,189887,5831076
10,2026-04-28 14:41:37,1727204,13,191338,5400863
1,2026-04-28 14:52:37,2136272,13,262141,2884192
2,2026-04-28 15:03:37,2136272,13,261734,5600787
3,2026-04-28 15:14:40,2136272,13,264924,6468234
4,2026-04-28 15:25:44,2136272,13,265402,5652405
5,2026-04-28 15:36:46,2136272,13,264370,6393766
6,2026-04-28 15:47:45,2136272,13,261443,5773580
7,2026-04-28 15:58:43,2136272,13,259496,5142947
8,2026-04-28 16:09:45,2136272,13,263927,3028461
9,2026-04-28 16:20:46,2136272,13,262610,5857456
10,2026-04-28 16:31:48,2136272,13,261706,5647032
1,2026-04-28 16:44:17,2545342,13,325345,2247344
2,2026-04-28 16:56:41,2545342,13,320853,4627451
3,2026-04-28 17:09:09,2545342,13,325835,2953641
4,2026-04-28 17:21:39,2545342,13,326086,8071768
5,2026-04-28 17:34:07,2545342,13,324855,3973716
6,2026-04-28 17:46:35,2545342,13,325730,3132287
7,2026-04-28 17:59:01,2545342,13,323370,6947100
8,2026-04-28 18:11:25,2545342,13,321125,5031848
9,2026-04-28 18:23:50,2545342,13,324034,3174619
10,2026-04-28 18:36:13,2545342,13,320579,6535967
